MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-3.94,0,0,105.243527356535,0.00316095992725105,6.34416229831705E-07,0,89.9959653352023,0.0116715546122838,6.00316908838386E-11,0.000322749512406517,94.3209322867915,-6362518.43422736
-3.88,0,0,105.243523855694,0.00314775324682884,1.38267721263357E-06,0,89.995966054139,0.0255018188877456,5.99290305785185E-11,0.000321401020869416,94.3209309093654,-6362518.43421874
-3.84,0,0,105.243525530212,0.00318579302451693,7.9043940968552E-06,0,89.9959681372313,0.141942250852554,5.99934531476183E-11,0.000325284095424649,94.3209320697933,-6362518.43422631
-3.78,0,0,105.243529031053,0.00317168038973995,1.41549464729154E-07,0,89.995968038068,0.00238818482459965,5.9925339585688E-11,0.000323844127137818,94.3209324423224,-6362518.43422716
-3.74,0,0,105.243526901118,0.00315324375678154,2.8847752071441E-06,0,89.995968939215,0.0528030410765,5.98787517577035E-11,0.000321961522331549,94.3209314243868,-6362518.43422309
-3.68,0,0,105.243525531143,0.0031659935455916,1.68877129894918E-06,0,89.9959679183883,0.0305755193997177,6.00171723057901E-11,0.000323263425457299,94.3209312791005,-6362518.43422315
-3.64,0,0,105.243524312042,0.00316850455130948,8.34723184124625E-06,0,89.9959682378434,0.151172544527949,6.01042746215984E-11,0.000323518738241546,94.3209318397567,-6362518.43423031
-3.58,0,0,105.24352948647,0.00315901770801197,8.84781939477238E-06,0,89.9959648815738,0.160751224195923,6.00197073890904E-11,0.000322549937777694,94.320932247676,-6362518.43422445
-3.54,0,0,105.243528574705,0.00315746155254576,1.03630686759982E-05,0,89.9959669190565,0.187867801775512,5.99620525285767E-11,0.000322390576570797,94.3209319515154,-6362518.4342216
-3.48,0,0,105.243525987491,0.0031442493873428,4.02125394675514E-06,0,89.9959640835571,0.0732193120767859,5.99471106527551E-11,0.000321043021585865,94.3209320148453,-6362518.43421919
-3.44,0,0,105.243524312042,0.00313911956165079,1.73925387347315E-06,0,89.9959648691996,0.0323140047014591,5.97711421313294E-11,0.000320519459478419,94.3209318313748,-6362518.43422267
-3.38,0,0,105.243528574705,0.00316173813924487,5.96212942563585E-06,0,89.9959624661517,0.108295303121265,5.959256204703E-11,0.000322828398907404,94.3209314113483,-6362518.43422865
-3.34,0,0,105.243527356535,0.00317843700582761,4.09642480091857E-06,0,89.9959627920365,0.0735881828299903,5.96340442048111E-11,0.000324533744787914,94.3209312781692,-6362518.43422689
-3.28,0,0,105.243524312042,0.0031637715369261,1.77251825446082E-06,0,89.9959644618638,0.0324873393997991,5.99026142729585E-11,0.000323036547342781,94.3209319971502,-6362518.43422549
-3.24,0,0,105.243525987491,0.00314709343271146,4.81909879929685E-06,0,89.9959625788995,0.0880374179535966,6.00684603259191E-11,0.000321333303190841,94.3209319394082,-6362518.43422512
-3.18,0,0,105.243529031053,0.00315685124970669,7.90821720025257E-06,0,89.9959628584805,0.143387452260861,6.01999941832786E-11,0.000322328990591814,94.3209325606003,-6362518.4342187
-3.14,0,0,105.243529488333,0.00315706876158038,2.88695436049254E-06,0,89.9959627172883,0.0523117414451941,6.01042367865155E-11,0.000322352076864263,94.3209324255586,-6362518.43422364
-3.08,0,0,105.243523855694,0.00314513753639979,3.24344439020446E-06,0,89.9959637507958,0.0589516530084737,5.97187255817849E-11,0.000321133798024675,94.3209308758378,-6362518.43422339
-3.04,0,0,105.243523855694,0.00315697796513892,8.7582082180141E-06,0,89.9959631515332,0.158723164991334,5.95872337924505E-11,0.000322341699074968,94.3209310211241,-6362518.43422459
-2.98,0,0,105.243527812883,0.00318737409040628,9.44651078328173E-06,0,89.9959635962088,0.170035265882274,5.97259515618355E-11,0.000325445100656907,94.3209322309121,-6362518.43422879
-2.94,0,0,105.243529031053,0.00317845442102491,8.48563147681631E-06,0,89.995963196766,0.153248135766632,5.99373507418273E-11,0.000324534632795803,94.3209324637428,-6362518.43422406
-2.88,435.528564453125,435.528564453125,105.243523399346,0.00313078269423644,5.29410934498648E-06,16.3310717008331,89.995964017093,0.0966664812474863,6.00566236077717E-11,0.000319667816484071,94.3209314951673,-6362518.4342251
-2.84,435.528564453125,435.528564453125,105.243525530212,0.00316581641346846,1.31420160108474E-05,16.3310717008331,89.9959628186681,0.237585083741211,5.99844286254622E-11,0.000323242600984486,94.3209312697873,-6362518.4342283
-2.78,435.528564453125,435.528564453125,105.243529487401,0.00318589092265279,2.25533711529874E-06,16.3310717008331,89.995964975782,0.0404986821446825,6.00016003590085E-11,0.000325295014249605,94.3209324656054,-6362518.43423409
-2.74,435.528564453125,435.528564453125,105.243530705571,0.00318279697449713,7.50857563893694E-07,16.3310717008331,89.9959638225832,0.0129264963878839,6.00430652366607E-11,0.000324979177094065,94.3209332581609,-6362518.43423099
-2.68,435.528564453125,435.528564453125,105.243525987491,0.0031582415340117,1.57504992329248E-06,16.3310717008331,89.9959640038183,0.0280586944294119,6.01251281576945E-11,0.000322471911658795,94.3209326863289,-6362518.43423097
-2.64,435.528564453125,435.528564453125,105.243527661078,0.00315480295810738,8.60262874850494E-06,16.3310717008331,89.9959658146298,0.155965375917234,6.03375862164543E-11,0.000322119662996556,94.3209332460538,-6362518.43422921
-2.58,435.528564453125,435.528564453125,105.243531161919,0.00317014949371476,2.28562519032359E-06,16.3310717008331,89.9959630314567,0.0415864743838164,6.02218395684757E-11,0.000323687734635314,94.3209336977452,-6362518.43421617
