MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
1.18,819.932189941406,819.932189941406,111.34385916125,5.98712586711619,0.0156752159968681,16.5169434829938,0.141307447401664,0.00015578282140406,49.6418838500977,0.611313740547871,99.680124675855,-6362518.4238453,0.00915779918432236,0.0131347961723804,180.049896240234,-0.999892354011536,-3.84151935577393E-05,0.0146773159503937,-3.87430191040039E-05,1,1.2814998626709E-06,1
1.28,819.945556640625,819.945556640625,111.982621779665,6.65449853919196,0.0174938770762,16.5283312755949,0.14169252991344,0.000197891504644091,49.6084899902344,0.679455805994735,100.750279792584,-6362518.4465853,0.00898881629109383,0.0148037252947688,180.103775024414,-0.999867022037506,-4.28557395935059E-05,0.0163129866123199,-4.28557395935059E-05,1.00000011920929,-2.98023223876953E-08,1
1.38,819.960266113281,819.960266113281,112.688051017001,7.32075883021631,0.0192947898018164,16.5397474958304,0.142073659393046,0.000245017853162468,49.575138092041,0.747484356937207,101.931749290787,-6362518.47035565,0.00857852771878242,0.0161533541977406,180.092239379883,-0.999839067459106,-4.71770763397217E-05,0.0179457664489746,-4.7832727432251E-05,1.00000011920929,1.60932540893555E-06,1
1.48,819.976501464844,819.976501464844,113.460085756145,7.98673798724933,0.0210887049936895,16.5511996913858,0.142454076016989,0.000297084560098338,49.5418167114258,0.815484270916954,103.224919162691,-6362518.49736143,0.00800218991935253,0.0171751957386732,180.073486328125,-0.999808430671692,-5.14388084411621E-05,0.0195778906345367,-5.14388084411621E-05,1,-3.27825546264648E-07,1
1.58,819.994079589844,819.994079589844,114.298761985265,8.65363425641763,0.0228698771688035,16.5626931485005,0.142827784442956,0.00035412612063419,49.5084991455078,0.88357790409782,104.630825819448,-6362518.52441853,0.0073233125731349,0.0178871918469667,180.116500854492,-0.999775052070618,-5.56111335754395E-05,0.0212119519710541,-5.62965869903564E-05,1,1.51991844177246E-06,1
1.68,820.013122558594,820.013122558594,115.20423965808,9.32267221557877,0.0246115486123527,16.5742380827437,0.143017444417828,0.000416240365898768,49.4751625061035,0.951890306388123,106.150990472175,-6362518.55225464,0.00655255932360888,0.0182735305279493,180.060195922852,-0.999738931655884,-5.96344470977783E-05,0.0228511393070221,-5.83231449127197E-05,1.00000023841858,-3.24845314025879E-06,1
1.78,820.033508300781,820.033508300781,116.176803244278,9.9948112436867,0.0263360403068344,16.5858385410607,0.14313477762111,0.000483570343833584,49.4417877197266,1.02051943639958,107.787107894197,-6362518.58176949,0.00575013784691691,0.0183175671845675,180.113220214844,-0.999699950218201,-6.35981559753418E-05,0.0244977474212646,-6.3478946685791E-05,1,-5.96046447753906E-07,1
1.88,820.055480957031,820.055480957031,117.216788956895,10.6704799594445,0.0280053489282562,16.5975034484739,0.143043811021653,0.000556266421130312,49.4083633422852,1.08950907700012,109.540624080226,-6362518.60942449,0.00493499124422669,0.018084017559886,180.056838989258,-0.999658048152924,-6.74128532409668E-05,0.0261527895927429,-6.72340393066406E-05,1,-5.0663948059082E-07,1
1.98,820.078796386719,820.078796386719,118.324545823038,11.3494278712333,0.0296347945237194,16.6092254599337,0.142819230867484,0.000634448531129757,49.3748970031738,1.15883365387174,111.412326987833,-6362518.6374613,0.00413109222427011,0.0175859201699495,180.056503295898,-0.999613165855408,-7.10189342498779E-05,0.0278156101703644,-7.2866678237915E-05,1,4.20212745666504E-06,1
2.08,820.103515625,820.103515625,119.500387925655,12.0314671677867,0.0312536257749606,16.6210059585379,0.14268641257943,0.000718180371452986,49.3413887023926,1.22847399061868,113.402979695238,-6362518.66380468,0.00333422375842929,0.0168044287711382,180.11930847168,-0.999565124511719,-7.46548175811768E-05,0.0294859707355499,-7.44760036468506E-05,1,-5.0663948059082E-07,1
2.18,820.129760742188,820.129760742188,120.744604290463,12.7164228852315,0.0328434963594535,16.632843708883,0.142541469110037,0.000807497906427475,49.3078498840332,1.29841223491053,115.513293862343,-6362518.68800151,0.00255437614396214,0.0158266741782427,180.054000854492,-0.99951434135437,-7.82310962677002E-05,0.0311630368232727,-7.96318054199219E-05,0.99999988079071,3.24845314025879E-06,1
