TIME,THRUST,ALTITUDE,SPEED,GROUNDSPEED,TWR,AoA,APOAPSIS,PERIAPSIS
84.32,0,11978.9170286683,379.786368109301,374.939897123099,0,0.429668878483106,12166.7824611058,-6355323.86071184
84.52,0,11966.661399452,375.804146428924,370.666358078512,0,0.178256453500549,12163.6303326013,-6355484.8445426
84.72,0,11954.1172184478,371.912450947805,366.474479116342,0,0.338674975070557,12160.3261473002,-6355641.17065911
84.92,0,11941.2868562071,368.107992892889,362.360997028853,0,0.49081330952124,12156.866287265,-6355793.01023623
85.12,0,11928.1730299843,364.384082068052,358.319685644896,0,0.34700121730022,12153.2293383041,-6355940.61341625
85.32,0,11914.7788878959,360.735671484021,354.345767174584,0,0.317822326050106,12149.4028298045,-6356084.14744891
85.52,0,11901.1075294847,357.162614168834,350.438891290984,0,0.377272938560709,12145.3947698157,-6356223.64286024
85.72,0,11887.1616013376,353.665867666184,346.599665440316,0,0.207737829714263,12141.2187123569,-6356359.27316863
85.92,0,11872.9433880569,350.246119306419,342.828544878836,0,0.279024057821586,12136.8834234364,-6356491.20397318
86.12,0,11858.4549543094,346.902304797702,339.124402763905,0,0.437825611594121,12132.390279185,-6356619.55361395
86.32,0,11843.6985631473,343.629418561159,335.482775030916,0,0.32606353540281,12127.7169067757,-6356744.48226922
86.52,0,11828.6770205572,340.42285695374,331.899416938381,0,0.17164502190181,12122.8485062253,-6356866.1097464
86.72,0,11813.3930492746,337.282062786377,328.373558631845,0,0.20636954230571,12117.7933083186,-6356984.5004166
86.92,0,11797.8490106845,334.20749322693,324.905313919177,0,0.1019787728992,12112.5643997183,-6357099.77428252
87.12,0,11782.0469660833,331.199397416105,321.494733913489,0,0.17785584192632,12107.1694467738,-6357212.05193742
87.32,0,11765.9888078207,328.257185566926,318.141126217794,0,0.399569068771942,12101.6120480765,-6357321.44853161
87.52,0,11749.6764225848,325.378699872653,314.84256581382,0,0.419369249614634,12095.883364873,-6357428.07142185
87.72,0,11733.1120599695,322.559642760855,311.595342184715,0,0.251939164162047,12089.9614771632,-6357532.02150072
87.92,0,11716.2981831506,319.798267792571,308.397740228966,0,0.0599147874236822,12083.8455925947,-6357633.37030693
88.12,0,11699.2370620901,317.094290644777,305.249210660668,0,0.053536094332943,12077.545773698,-6357732.18981253
88.32,0,11681.9306794852,314.447631882281,302.149390854778,0,0.0852385620186036,12071.0724751335,-6357828.57349207
88.52,0,11664.3808188159,311.858076502426,299.097933776077,0,0.266398787887239,12064.4310215246,-6357922.60453869
88.72,0,11646.5891702399,309.325030659536,296.094241190996,0,0.433193137137508,12057.6223231321,-6358014.36778564
88.92,0,11628.5574633246,306.846719768383,293.136795377176,0,0.460196156361779,12050.6379763857,-6358103.95270004
89.12,0,11610.2876918605,304.420245308994,290.223219211088,0,0.34285744225213,12043.4605816985,-6358191.42771802
89.32,0,11591.7820320083,302.043980544902,287.352001031161,0,0.177202701263008,12036.0871257009,-6358276.85242946
89.52,0,11573.0425392669,299.717267758623,284.52225935448,0,0.11098595171389,12028.5259041777,-6358360.29115499
89.72,0,11554.071037123,297.440862877804,281.73448236481,0,0.182139806848588,12020.7883505737,-6358441.77896212
89.92,0,11534.86903919,295.217323445884,278.990916594917,0,0.294632857919245,12012.8899073191,-6358521.29081879
90.12,0,11515.4377806764,293.048896486609,276.293650948537,0,0.424083696288348,12004.8413087223,-6358598.80492192
90.32,0,11495.7783193132,290.937110176232,273.644237076046,0,0.504935872085039,11996.6473180596,-6358674.32325625
90.52,0,11475.891676899,288.882300616794,271.043243469961,0,0.486578642560118,11988.305323259,-6358747.85511567
90.72,0,11455.778910229,286.884623629808,268.491040604956,0,0.38461714098614,11979.8135151714,-6358819.40119866
90.92,0,11435.4409973761,284.94430648128,265.987754272247,0,0.266627344545496,11971.1793076862,-6358888.98845923
91.12,0,11414.878667431,283.062677480038,263.534383724588,0,0.223645462998466,11962.4184445152,-6358956.63171464
91.32,0,11394.0923456196,281.240700692284,261.13154599834,0,0.278769488832972,11953.5463493876,-6359022.36075972
91.52,0,11373.08218979,279.479081767416,258.779671006435,0,0.37234891428377,11944.5759178307,-6359086.20471986
91.72,0,11351.8481826968,277.777810235935,256.478624569745,0,0.467894563750372,11935.5145190144,-6359148.20171299
91.92,0,11330.3902393766,276.13621670006,254.227846361127,0,0.533183157935445,11926.3621067116,-6359208.39484746
92.12,0,11308.7083236845,274.553155965326,252.02645189933,0,0.539169606948687,11917.1139229881,-6359266.83322349
92.32,0,11286.8025025455,273.026899809411,249.873003963538,0,0.482035557602966,11907.7634125156,-6359323.58019379
92.52,0,11264.6729118321,271.55584578227,247.766029088962,0,0.387727457988372,11898.3086236697,-6359378.70202958
92.72,0,11242.3196638748,270.138479246078,245.703935375947,0,0.305612079212905,11888.7529684138,-6359432.27556723
92.92,0,11219.7427773867,268.773645131857,243.685361258345,0,0.289478510391915,11879.1037197895,-6359484.37090828
93.12,0,11196.9421504987,267.459951109815,241.708685470649,0,0.342211462678719,11869.3677369915,-6359535.05799037
93.32,0,11173.9175853767,266.196106609419,239.772469129891,0,0.421840555362982,11859.5497712931,-6359584.39570966
93.52,0,11150.66885598,264.980621387664,237.875254285569,0,0.495212678085181,11849.649369726,-6359632.43379827
93.72,0,11127.1957921265,263.811826220886,236.015572405244,0,0.539300518498087,11839.6614123564,-6359679.21765551
93.92,0,11103.4983466109,262.687802791827,234.191866758974,0,0.539170006561966,11829.57623519,-6359724.79683509
94.12,0,11079.5766294207,261.606760705206,232.402700278238,0,0.493855757506896,11819.3848621873,-6359769.22363075
94.32,0,11055.4308738774,260.566699592762,230.646322810449,0,0.419298110322539,11809.0801835954,-6359812.56374893
94.52,0,11031.0613667397,259.566166800146,228.921322442989,0,0.347609527702659,11798.6615690514,-6359854.87913674
94.72,0,11006.4683853555,258.603734587734,227.226217913105,0,0.318822829943023,11788.1304296637,-6359896.23523143
94.92,0,10981.6521574641,257.678191658861,225.559632909294,0,0.349181473306783,11777.4911229806,-6359936.68856614
95.12,0,10956.6128437044,256.788635718996,223.920557018703,0,0.413381168167361,11766.747360846,-6359976.27896949
95.32,0,10931.3505789302,255.934054736999,222.307994947982,0,0.47840061865345,11755.8994184732,-6360015.03559768
95.52,0,10905.8655235926,255.113342817655,220.72100713682,0,0.522205013434909,11744.9437386002,-6360052.97805874
95.72,0,10880.1579253422,254.325281160966,219.158719959142,0,0.532463834310035,11733.8723427653,-6360090.12253163
95.92,0,10854.2281637564,253.568699381582,217.620387523852,0,0.506601303837561,11722.6757742697,-6360126.48937093
96.12,0,10828.0767436521,252.842453928965,216.10522846346,0,0.452686827686952,11711.3462111885,-6360162.10731833
96.32,0,10801.7042535394,252.145469036507,214.612386636186,0,0.39018051391785,11699.8792899884,-6360197.01612931
96.52,0,10775.111301994,251.476844317279,213.141033826204,0,0.34769498579871,11688.2744751433,-6360231.25927911
96.72,0,10748.2984815091,250.835793608096,211.690350085097,0,0.349525161709389,11676.5338245975,-6360264.88109148
96.92,0,10721.2663398078,250.221599590687,210.259544915608,0,0.391907722270343,11664.6603038749,-6360297.91615027
97.12,0,10694.0153913824,249.633554359427,208.847886846282,0,0.448250744969428,11652.6556386268,-6360330.3881804
97.32,0,10666.5461477926,249.070733655357,207.454553464507,0,0.494261326691484,11640.5178067992,-6360362.30875987
97.52,0,10638.8591664881,248.532381900515,206.079045696562,0,0.515493820741068,11628.2421393422,-6360393.67774067
97.72,0,10610.9550994784,248.017534407208,204.720800263319,0,0.507039313936788,11615.8200661987,-6360424.49756477
97.92,0,10582.8347083852,247.525291763075,203.379337705151,0,0.472407747389124,11603.2430091687,-6360454.77446333
98.12,0,10554.4988508187,247.054822331763,202.05417405325,0,0.422793852725233,11590.5042869635,-6360484.52660459
98.32,0,10525.9484489486,246.605387267521,200.744804881848,0,0.37657864396168,11577.6000123024,-6360513.78333689
98.52,0,10497.1844450179,246.176429612294,199.450811711375,0,0.355960316822893,11564.5290772663,-6360542.57642593
98.72,0,10468.2077777656,245.767303634162,198.171579127111,0,0.372500184557485,11551.2920651222,-6360570.94057023
98.92,0,10439.0193615165,245.377522758052,196.906630590531,0,0.414956995140678,11537.890576262,-6360598.89905028
99.12,0,10409.620096582,245.006436000778,195.655371038774,0,0.460332272592428,11524.3243286833,-6360626.46483746
99.32,0,10380.0108946674,244.653362612906,194.417254549106,0,0.490238037268743,11510.5911725899,-6360653.63762925
99.52,0,10350.1927060783,244.317671713508,193.191920333646,0,0.495766759725038,11496.6864512637,-6360680.40814625
99.72,0,10320.1665510414,243.998667900352,191.979012419767,0,0.476867535443489,11482.6038194727,-6360706.76835587
99.92,0,10289.9335316708,243.695642429053,190.778216857315,0,0.440290731164138,11468.3358113552,-6360732.71942552
100.12,0,10259.4948129701,243.408038331811,189.589301686382,0,0.398363641272031,11453.8771854201,-6360758.27208581
100.32,0,10228.8516100794,243.135362926664,188.412050582116,0,0.367597663176091,11439.2240321068,-6360783.44776204
100.52,0,10198.0051662661,242.877236818308,187.246257743189,0,0.363057426399429,11424.375066001,-6360808.27138306
100.72,0,10166.9567258582,242.633166138319,186.091520403848,0,0.387192108328728,11409.3298795363,-6360832.76712105
100.92,0,10135.7075264771,242.402762378412,184.947569295278,0,0.425846972355515,11394.0880297599,-6360856.94976312
101.12,0,10104.2588066962,242.185445404142,183.813870420162,0,0.459678329954933,11378.6492394395,-6360880.8249832
101.32,0,10072.6118040727,241.980732973356,182.690076501372,0,0.475397442594322,11363.0119902482,-6360904.38473734
101.52,0,10040.7677833457,241.787989066072,181.575755951726,0,0.468726795525793,11347.1724490142,-6360927.61855195
101.72,0,10008.7280404409,241.606839123553,180.470758505716,0,0.443499475858807,11331.1279571988,-6360950.51424152
101.92,0,9976.49392873235,241.43676256911,179.374927022029,0,0.408408183760134,11314.8723979117,-6360973.07012561
102.12,0,9944.06684148684,241.277346606262,178.288119068653,0,0.375925443418806,11298.4020673297,-6360995.29503261
102.32,0,9911.4482136583,241.128193060629,177.210273882841,0,0.359536460434415,11281.7121539433,-6361017.20423748
102.52,0,9878.63950253744,240.98909015837,176.141379798869,0,0.367594416916067,11264.8015925782,-6361038.81555962
102.72,0,9845.64218292385,240.859678067431,175.081232326793,0,0.395297962803366,11247.6691543879,-6361060.14536211
102.92,0,9812.45772593282,240.739569705286,174.029552200074,0,0.427546241872768,11230.3142073173,-6361081.20101109
103.12,0,9779.08759845234,240.628302943601,172.985909796541,0,0.449119157041181,11212.7368351035,-6361101.98328603
103.32,0,9745.53325744718,240.525504360856,171.949968049558,0,0.451737052671623,11194.937512516,-6361122.48219483
103.52,0,9711.79616407026,240.430657204554,170.921340216016,0,0.435439485217573,11176.9139318354,-6361142.68904661
103.72,0,9677.87779100332,240.34349753481,169.899908091212,0,0.406774033423867,11158.6652095607,-6361162.59449505
103.92,0,9643.77964160033,240.263577359057,168.885536472025,0,0.376350824070879,11140.1862131236,-6361182.19899034
104.12,0,9609.50325154699,240.190811034997,167.8784244946,0,0.35495242320233,11121.4749711519,-6361201.50401668
104.32,0,9575.05019208044,240.124832841132,166.878533420916,0,0.351978553105475,11102.5268029328,-6361220.5237921
104.52,0,9540.42205709871,240.065416493719,165.885849512076,0,0.368365242721742,11083.3400513073,-6361239.27007724
104.72,0,9505.62044744566,240.012302046863,164.90025942267,0,0.394797802502977,11063.9139203215,-6361257.75178071
104.92,0,9470.64696070738,239.965180941,163.921468945203,0,0.417245570275559,11044.249412532,-6361275.97219466
105.12,0,9435.50317500532,239.923642301733,162.949032641717,0,0.425388482137356,11024.3474057224,-6361293.93181537
105.32,0,9400.19064945169,239.887383654712,161.982617428698,0,0.416137279466361,11004.2093881276,-6361311.62214277
105.52,0,9364.71093370114,239.856048545638,161.021923057131,0,0.393587059327352,10983.8348372253,-6361329.03815444
105.72,0,9329.06557868421,239.82945824406,160.066886593316,0,0.366128249210548,10963.223591431,-6361346.17375198
