MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
213.91,49.7400014996529,49.7400014996529,154697.532444499,5151.61259934025,5111.49236655518,13.7054769072961,2.46486498303735,0,3.62920618057251,137.853066215945,198876.100704987,-4198054.21390117,3.26240110397339,278.009948730469,314.592987060547,-0.987423002719879,-0.0973684787750244,0.124559968709946,-0.989235639572144,-0.0901201963424683,0.115287452936172,-0.0907251164317131,0.99587607383728,3.25962901115417E-09,1
214.07,49.7400014996529,49.7400014996529,154800.177997966,5153.61601010287,5113.56705830028,13.7151645638141,2.46729207157575,0,3.62664270401001,137.867116534815,198952.857750208,-4195793.17672483,3.26243019104004,277.999389648438,314.593109130859,-0.987433791160584,-0.0974307656288147,0.124425441026688,-0.989244282245636,-0.0901802480220795,0.11516597867012,-0.0907842591404915,0.995870590209961,2.79396772384644E-08,1
214.23,49.7400014996529,49.7400014996529,154902.752746711,5155.62502757657,5115.64718629822,13.7248839838505,2.46955942822072,0,3.62407445907593,137.881699244536,199029.773525884,-4193524.42219321,3.26246070861816,277.988342285156,314.593200683594,-0.987444639205933,-0.0974929928779602,0.124291002750397,-0.989252984523773,-0.0902402102947235,0.11504465341568,-0.0908435136079788,0.995865345001221,-1.6635749489069E-07,1
214.39,49.7400014996529,49.7400014996529,155005.256830554,5157.63892519778,5117.73203451483,13.7346298481259,2.4717064229297,0,3.62150287628174,137.896752508981,199106.819279489,-4191248.6804577,3.2624728679657,277.976837158203,314.593658447266,-0.987455368041992,-0.0975553691387177,0.124157041311264,-0.989261627197266,-0.0903002917766571,0.114923715591431,-0.0909025818109512,0.995859920978546,-1.08499079942703E-07,1
214.55,49.7400014996529,49.7400014996529,155107.690353503,5159.65568090709,5119.81960327596,13.7443949960247,2.4737821765349,0,3.61892986297607,137.912111849744,199183.921370422,-4188968.02749835,3.2624351978302,277.964965820313,314.593719482422,-0.987466096878052,-0.097617506980896,0.124023109674454,-0.989270269870758,-0.0903602540493011,0.114802777767181,-0.090961679816246,0.995854437351227,-1.54832378029823E-08,1
214.71,49.7400014996529,49.7400014996529,155210.053362839,5161.67275245586,5121.90737570395,13.7541667853367,2.47585473412119,0,3.61635875701904,137.927573889704,199260.989919231,-4186685.0888746,3.2623565196991,277.952941894531,314.593688964844,-0.987476646900177,-0.0976798832416534,0.123889446258545,-0.989278554916382,-0.0904203653335571,0.114682197570801,-0.0910208970308304,0.995849072933197,3.16649675369263E-08,1
214.87,49.7400014996529,49.7400014996529,155312.345864465,5163.68882838862,5123.99405373439,13.7639415824786,2.47794011881106,0,3.61379051208496,137.943032994475,199337.978235154,-4184401.22227046,3.2622332572937,277.940795898438,314.594177246094,-0.987487256526947,-0.0977420806884766,0.123755693435669,-0.989287137985229,-0.0904803574085236,0.114561378955841,-0.09108005464077,0.995843529701233,1.82772055268288E-08,1
215.03,49.7400014996529,49.7400014996529,155414.567866171,5165.70478954331,5126.08050931748,13.7737211893594,2.47999640108823,0,3.61122465133667,137.958560592724,199414.91787239,-4182115.51387751,3.26212239265442,277.928558349609,314.594268798828,-0.987497806549072,-0.0978042781352997,0.123622208833694,-0.989295601844788,-0.09054034948349,0.114440858364105,-0.0911392048001289,0.995838224887848,-5.86733222007751E-08,1
215.19,49.7400014996529,49.7400014996529,155516.719408055,5167.72222907962,5128.16832042151,13.7835128820954,2.48199274245196,0,3.60865926742554,137.974284604698,199491.864904282,-4179826.30504118,3.26202988624573,277.916168212891,314.594085693359,-0.987508416175842,-0.0978665053844452,0.12348884344101,-0.989303946495056,-0.0906003713607788,0.114320546388626,-0.0911982357501984,0.995832920074463,-2.00350768864155E-07,1
215.35,49.7400014996529,49.7400014996529,155618.800542987,5169.74143345861,5130.257772318,13.793319418451,2.48389339816745,0,3.60609364509583,137.990226231973,199568.827996881,-4177533.28954698,3.26197361946106,277.903533935547,314.594604492188,-0.987518906593323,-0.0979287028312683,0.12335541844368,-0.989312410354614,-0.0906603932380676,0.114199936389923,-0.0912574678659439,0.995827317237854,-8.45175236463547E-08,1
