MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__PROGRADE_PITCH,__PROGRADE_YAW,__PROGRADE_ROLL,__NORMAL_PITCH,__NORMAL_YAW,__NORMAL_ROLL,THROTTLE
122.12,1000.275390625,1000.275390625,74687.4726527072,3940.60873127382,3756.2767946613,109.435811012436,13.6334717581996,0.00341743199571109,9.14029312133789,175.673443113939,178860.481547923,-5320181.38002306,3.26634860038757,273.974182128906,176.769302368164,3.22866034507751,285.973419189453,270.923614501953,273.357940673828,270.000091552734,95.3492584228516,1
122.22,1000.27551269531,1000.27551269531,74806.5757427886,3950.97342086915,3767.13309341586,109.838791177835,13.652780239738,0.00337412392356846,9.10676002502441,176.048752787361,179206.290817246,-5313775.07493228,3.26658177375793,273.907897949219,177.206680297852,3.23100185394287,285.934661865234,270.921905517578,273.359802246094,270.000122070313,95.5194091796875,1
122.32,1000.27551269531,1000.27551269531,74925.6832949463,3961.3855892011,3778.03888928015,110.245084212237,13.6720805325734,0.0033311951659004,9.07319831848145,176.426997785713,179553.180789696,-5307311.86774396,3.26682305335999,273.841522216797,177.222503662109,3.2333447933197,285.895812988281,270.920227050781,273.361511230469,269.999969482422,95.4982070922852,1
122.42,1000.27557373047,1000.27557373047,75044.7945262278,3971.84493484498,3788.99384002291,110.654657736632,13.6913239322103,0.00328861495575052,9.03961563110352,176.808209237621,179901.162402442,-5300791.47024621,3.26721239089966,273.775115966797,176.820404052734,3.23568630218506,285.856872558594,270.918518066406,273.363311767578,270,95.2645568847656,1
122.52,1000.27569580078,1000.27569580078,75163.9086260553,3982.34722462338,3799.99360783771,111.067421937568,13.7104850178951,0.00324638806329532,9.00602245330811,177.192222038012,180250.095435557,-5294215.96728177,3.2677903175354,273.708740234375,177.167999267578,3.2380223274231,285.81787109375,270.916809082031,273.365051269531,269.999938964844,95.398323059082,1
122.62,1000.27581787109,1000.27581787109,75283.024737943,3992.8877699979,3811.03335579728,111.483194007492,13.7296599883137,0.00320452122550766,8.97243595123291,177.5788627219,180599.841368422,-5287587.78114104,3.2683687210083,273.642333984375,176.879013061523,3.24037408828735,285.778778076172,270.915069580078,273.366851806641,270,95.2116546630859,1
122.72,1000.27587890625,1000.27587890625,75402.1419556895,4003.46199502504,3822.10836509541,111.901821011972,13.7489825694847,0.00316300688049963,8.93887042999268,177.967959486634,180950.263371235,-5280909.30894717,3.26883029937744,273.575714111328,176.979965209961,3.24271869659424,285.739654541016,270.913330078125,273.368774414063,269.999969482422,95.2242202758789,1
122.82,1000.27600097656,1000.27600097656,75521.2593507795,4014.0669340089,3833.21564851581,112.323225694456,13.7684637674296,0.00312185075609786,8.90533542633057,178.359375595211,181301.233271088,-5274181.94811285,3.26906847953796,273.508941650391,177.045547485352,3.24506378173828,285.700500488281,270.91162109375,273.370513916016,269.999908447266,95.2263717651367,1
122.92,1000.27600097656,1000.27600097656,75640.3759744279,4024.70144318275,3844.35401099127,112.747329727536,13.7880921876252,0.00308104660132343,8.8718376159668,178.753092481786,181652.725789303,-5267406.04112687,3.2692232131958,273.442016601563,176.823852539063,3.24741005897522,285.661254882813,270.909881591797,273.372192382813,270.000030517578,95.0798187255859,1
123.02,1000.27606201172,1000.27606201172,75759.4908662084,4035.36551930605,3855.52347329103,113.174215801169,13.8078161042843,0.00304060370861137,8.83837413787842,179.149122939779,182004.728061525,-5260581.20054673,3.26926589012146,273.375,177.110015869141,3.24975848197937,285.622009277344,270.908142089844,273.374053955078,269.999969482422,95.2041854858398,1
123.12,1000.27618408203,1000.27618408203,75878.6030627089,4046.06023312436,3866.7251318574,113.603922946091,13.8276379974462,0.00300052386825591,8.80494403839111,179.547542374593,182357.277865657,-5253706.3783918,3.26930165290833,273.307861328125,176.832855224609,3.25211000442505,285.582733154297,270.906372070313,273.375915527344,270.000030517578,95.0214614868164,1
123.22,1000.27630615234,1000.27630615234,75997.7116038511,4056.78866361445,3877.96213647442,114.036595538152,13.8474593878235,0.00296081700442097,8.77153778076172,179.948524644355,182710.484724873,-5246779.25306914,3.26934385299683,273.240661621094,176.849227905273,3.2544584274292,285.543395996094,270.904632568359,273.377716064453,270.000091552734,94.9985122680664,1
123.32,1000.27630615234,1000.27630615234,76116.8155448707,4067.55615604667,3889.239996455,114.472437478206,13.8672759579091,0.00292148668325914,8.73814105987549,180.352336432665,183064.515588774,-5239796.01076825,3.26937007904053,273.173461914063,177.202758789063,3.25680303573608,285.503997802734,270.902893066406,273.379455566406,270,95.1810150146484,1
123.42,1000.2763671875,1000.2763671875,76235.9139646655,4078.36777127158,3900.56390545642,114.911731458225,13.8870605749507,0.00288254835463761,8.70473670959473,180.759246507027,183419.542627231,-5232752.96791977,3.26948213577271,273.106201171875,176.90625,3.25915145874023,285.464508056641,270.901092529297,273.381195068359,270.000061035156,94.9668045043945,1
123.52,1000.27648925781,1000.27648925781,76355.0059582582,4089.2286113852,3911.9390929682,115.354670773187,13.9068116050212,0.00284400777540491,8.67131328582764,181.16953287858,183775.744445439,-5225646.35708367,3.26973223686218,273.038909912109,176.722076416016,3.26150298118591,285.424926757813,270.899353027344,273.382995605469,269.999908447266,94.8312454223633,1
123.62,1000.27655029297,1000.27655029297,76474.0906300424,4100.14171856039,3923.36870512417,115.801401607847,13.9264995909317,0.00280588141065096,8.63786220550537,181.583365638185,184133.213990902,-5218473.64547923,3.26994681358337,272.971588134766,177.112274169922,3.26384282112122,285.38525390625,270.897521972656,273.384765625,269.999877929688,95.02880859375,1
123.72,1000.27655029297,1000.27655029297,76593.1670797691,4111.10627592901,3934.85189517708,116.251933835885,13.9461412863061,0.00276816760466721,8.60438632965088,182.000749887783,184491.933820025,-5211234.76132959,3.27021145820618,272.904235839844,176.859848022461,3.26619625091553,285.345458984375,270.895751953125,273.386505126953,270.000030517578,94.8363418579102,1
123.82,1000.27667236328,1000.27667236328,76712.234381007,4122.11977127429,3946.38605737757,116.706194429522,13.9657478907224,0.00273087386698712,8.57089614868164,182.421619298797,184851.840550785,-5203930.74462171,3.27057576179504,272.836822509766,176.917007446289,3.26853919029236,285.305603027344,270.893951416016,273.388488769531,270.000061035156,94.8339614868164,1
123.92,1000.27679443359,1000.27679443359,76831.2915806351,4133.17888670891,3957.96779979931,117.16408437158,13.985349204151,0.00269399513298001,8.53740119934082,182.845848125725,185212.819421744,-5196563.15444643,3.27093482017517,272.769348144531,177.036285400391,3.27089262008667,285.265655517578,270.892150878906,273.390197753906,270,94.8753128051758,1
124.02,1000.27679443359,1000.27679443359,76950.3377023656,4144.28271018168,3969.59616800721,117.62556700735,14.0049698165686,0.00265752878090081,8.50390625,183.273440092265,185574.855079323,-5189132.0335893,3.2713623046875,272.701812744141,176.669845581055,3.27324771881104,285.225646972656,270.890319824219,273.391998291016,270.000091552734,94.6138000488281,1
124.12,1000.27685546875,1000.27685546875,77069.3717562538,4155.43104668332,3981.27095822292,118.090719869883,14.0246395820437,0.00262147584140631,8.47041034698486,183.70442644183,185937.947825342,-5181636.95050946,3.27176427841187,272.634155273438,176.545837402344,3.27559947967529,285.185516357422,270.888519287109,273.393798828125,270.000061035156,94.5073852539063,1
124.22,1000.27697753906,1000.27697753906,77188.3927432047,4166.62480553669,3992.99311883843,118.55956002811,14.0443800321107,0.00258583653686291,8.43691539764404,184.138883316375,186302.124395732,-5174076.72945872,3.27199792861938,272.566375732422,176.954299926758,3.2779529094696,285.145324707031,270.886688232422,273.395629882813,270.000091552734,94.7133636474609,1
124.32,1000.27697753906,1000.27697753906,77307.3996560611,4177.86367901057,4004.76233664541,119.032123132793,14.0641499609301,0.00255060856642532,8.40342044830322,184.576835197637,186667.377871785,-5166450.9897684,3.27218794822693,272.498504638672,176.977020263672,3.28030800819397,285.105072021484,270.884857177734,273.397369384766,270.000122070313,94.6957550048828,1
124.42,1000.27703857422,1000.27703857422,77426.391474749,4189.14865546129,4016.57961481839,119.508475756232,14.0839836958523,0.00251579516556001,8.3699254989624,185.018377419754,187033.753962374,-5158758.49670152,3.27246856689453,272.430480957031,176.70475769043,3.28266167640686,285.064727783203,270.882995605469,273.399200439453,270.000061035156,94.4839782714844,1
