MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,YAW,ROLL,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
70.66,994.130310058594,994.130310058594,23163.028505085,1091.48237714663,816.002472985224,37.6990091842815,2.58629107475281,308.272216796875,178.645965576172,3.3914325402578,0.31793843236232,26.3701972961426,76.6231803555313,50887.5747713242,-6293118.85226168
70.76,994.199584960938,994.199584960938,23235.5805345988,1094.48968642889,818.922249178519,37.7496424535465,2.58863949775696,308.203460693359,178.728118896484,3.40721835454323,0.315815710263405,26.3366622924805,76.7666695092099,51059.488340484,-6292740.28303782
70.86,994.267883300781,994.267883300781,23308.2563207345,1097.50461177393,821.849891895572,37.8003841510708,2.59107780456543,308.132446289063,178.68115234375,3.42531966978057,0.313705329565703,26.3031158447266,76.9103845746521,51231.830574587,-6292359.73274808
70.96,994.335693359375,994.335693359375,23381.0557732787,1100.52489013708,824.783835848021,37.8512258633378,2.59355711936951,308.058624267578,178.686492919922,3.4462764257563,0.311606378413875,26.2695770263672,77.0541444383836,51404.4728707261,-6291977.39596921
71.06,994.402770996094,994.402770996094,23453.9793149242,1103.54856237087,827.726649104858,37.9021393357344,2.59599709510803,307.986694335938,178.872161865234,3.46506938825242,0.309517264654024,26.2360591888428,77.1973282369145,51576.9625188326,-6291592.93268706
71.16,994.469055175781,994.469055175781,23527.0266989721,1106.57492447824,830.671396012482,37.9531058157864,2.59815287590027,307.916564941406,178.787246704102,3.48233451787892,0.307437155738468,26.2025737762451,77.3406399729511,51749.814973915,-6291207.23736222
71.26,994.534790039063,994.534790039063,23600.1973875389,1109.60447013492,833.620231076755,38.0041429567148,2.60020041465759,307.845581054688,178.762664794922,3.50050532717094,0.305365396741022,26.1691150665283,77.4839051708774,51922.9012299003,-6290820.02575007
71.36,994.599670410156,994.599670410156,23673.4910054496,1112.63869111593,836.57448367153,38.0552558602118,2.60231781005859,307.772064208984,178.821929931641,3.52132130226668,0.303302316732144,26.1356716156006,77.6272078898317,52096.2803536039,-6290431.11954244
71.46,994.6640625,994.6640625,23746.9077010993,1115.67942580044,839.538519945769,38.1064866029676,2.60450673103333,307.697814941406,178.67626953125,3.54270007634725,0.301248401645212,26.1022243499756,77.7703266911772,52269.7856529066,-6290039.93929073
71.56,994.727722167969,994.727722167969,23820.4476285344,1118.72891657778,842.511533272298,38.1578542143847,2.60686182975769,307.623565673828,178.802368164063,3.56416882262369,0.299204471754538,26.068754196167,77.9137207853452,52443.7520595035,-6289646.58127759
71.66,994.790771484375,994.790771484375,23894.1110626934,1121.78849181729,845.494320410888,38.2093836410459,2.6092746257782,307.550109863281,178.789367675781,3.58487121516671,0.297171830778681,26.0352478027344,78.0575112022528,52618.2678098539,-6289250.93127644
71.76,994.853088378906,994.853088378906,23967.898266837,1124.85768811165,848.488615484392,38.2610626093673,2.61162424087524,307.478149414063,178.643737792969,3.60399995161693,0.295150646396861,26.0017108917236,78.2014145346789,52793.1245718068,-6288852.74929866
71.86,994.914855957031,994.914855957031,24041.8091041055,1127.93460670405,851.489692133364,38.3128679773925,2.61408352851868,307.40576171875,178.760192871094,3.62370970716178,0.293140891633015,25.9681644439697,78.3456866960197,52968.5157366619,-6288452.65037239
