MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
3.26,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046292827,2.52463546451978E-05,2.47305217982931E-05,14.3611705573247,100.885591482969,1.85814276999726E-15,1792.88950698922,92.6355098960921,-6362518.4444892
3.32,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048621133,2.08444386898312E-05,2.08443570328029E-05,14.3611705573247,89.4361359910978,1.87778704707071E-15,1792.8895075152,92.6355100767687,-6362518.44445733
3.36,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.371904832311,1.96115282911057E-05,1.31015525604286E-05,14.3611714771135,41.2808101657833,2.29012089223643E-15,1.49003358274058E-06,92.635510022752,-6362518.44413586
3.42,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719043619931,2.64074422052695E-05,2.06879520169831E-05,14.3611723969024,127.754922608505,1.74987667946987E-15,1792.88950592592,92.635509644635,-6362518.44426586
3.46,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047000632,3.96166730919752E-05,3.83981346833876E-05,14.3611733166914,103.50878134697,2.01093737101418E-15,1792.88950628101,92.6355099231005,-6362518.44503746
3.52,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046609476,3.2545456855538E-05,3.15848470817679E-05,14.3611751562697,103.216591303267,2.13553100893711E-15,1792.8895065474,92.6355099119246,-6362518.444866
3.56,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719043396413,2.46067559119305E-05,2.13282817944343E-05,14.3611760760591,119.227921346511,1.96773078477739E-15,1792.88950632543,92.6355097321793,-6362518.4443211
3.62,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044988975,1.46087878534919E-05,1.16551758967042E-05,14.3611779156381,126.426543739517,2.31799719280742E-15,1792.8895066041,92.6355099119246,-6362518.44449929
3.66,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046935439,1.23566218335222E-05,1.2096609612568E-05,14.3611797552177,77.5306453158926,2.51629470598934E-15,2.57464648711903E-07,92.6355100525543,-6362518.44421835
3.72,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719049030915,2.60949665220421E-05,2.0273476839234E-05,14.3611806750076,50.2781823493736,2.25773122379338E-15,1.67754501489981E-06,92.6355102052912,-6362518.44435189
3.76,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719045156613,2.93045176609223E-05,2.34412682328256E-05,14.3611825145878,126.146411946149,2.1244850119044E-15,1792.88950559267,92.6355100246146,-6362518.44477252
3.82,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.371904685162,1.27399648283284E-05,1.21920159850151E-05,14.3611834343781,72.4580257675848,1.92597935861912E-15,3.77396872863756E-07,92.6355102341622,-6362518.44418815
3.86,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048891217,2.40376480692042E-05,1.80591211700685E-05,14.3611843541685,47.9862873785436,1.89844792377185E-15,1.61982313784392E-06,92.6355103198439,-6362518.44436841
3.92,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719047065824,2.4470584631189E-05,2.41011201668178E-05,14.3611861937497,99.2571473585907,2.16231687776991E-15,1792.88950708936,92.6355101307854,-6362518.44445563
3.96,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719046805054,1.25429691297449E-05,1.14398169777709E-05,14.3611871135405,65.075289096611,2.13009348741112E-15,5.2518760185194E-07,92.6355103207752,-6362518.44425008
4.02,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048220664,1.63740480631445E-05,1.31910007058779E-05,14.3611889531223,52.9361758404813,2.31235006854362E-15,9.90507487586001E-07,92.6355104120448,-6362518.44434032
4.06,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048043713,1.83908259713714E-05,1.68037854452228E-05,14.3611907927047,65.4067655306479,2.22191270226231E-15,7.63095499678457E-07,92.6355103943497,-6362518.44412239
4.12,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719044392928,3.24626302119173E-05,3.04595624129609E-05,14.3611926322875,109.536920631919,1.87036023322865E-15,1792.88950636651,92.6355102201924,-6362518.44447728
4.16,6.68254232406616,7.62799978256226,6.68254232406616,7.62799978256226,93.3719048667699,2.34955468538145E-05,2.33379402483311E-05,14.3611935520791,95.924158547445,2.05389082142965E-15,1792.88950724189,92.63551054243,-6362518.44446221
