MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
151.06,49.71912586689,49.71912586689,117221.368825657,4410.36355046388,4271.65853103595,10.7712721608521,-78.7745622197579,93.3360743660265,3.53032870016067E-06,4.61590099334717,183.096126933969,217315.860947119,-4963058.62547779
151.16,49.7435092329979,49.7435092329979,117331.00288373,4410.06338289254,4271.77621478551,10.7803009145921,-78.868376016619,93.4369903454347,3.47859689458001E-06,4.61429691314697,182.82329154841,217125.774730476,-4962901.22303768
151.26,49.7818924188614,49.7818924188614,117440.470516326,4409.76170953866,4271.89205874688,10.7923732436066,-78.9430014022864,93.5200997141249,3.42794765604512E-06,4.61269187927246,182.550129800792,216935.666221071,-4962745.23311166
151.36,49.8220876455307,49.8220876455307,117549.771581642,4409.45884487187,4272.0064092234,10.8048503037234,-78.9980870037483,93.5850388898483,3.37836728561911E-06,4.61108541488647,182.276641689057,216745.528604046,-4962590.40352734
151.46,49.8507974743843,49.8507974743843,117658.905948048,4409.15513651608,4272.11957148968,10.8148477258445,-79.0330591897566,93.6313878812244,3.32982769782152E-06,4.60947751998901,182.002875813781,216555.407959522,-4962436.51424528
151.56,49.8584764003754,49.8584764003754,117767.873518725,4408.85098943477,4272.23184537019,10.8202879979237,-79.0476008830622,93.6588755353322,3.28230677262854E-06,4.60786962509155,181.728924148309,216365.396516728,-4962283.35092659
151.66,49.8419466614723,49.8419466614723,117876.674245591,4408.54682704571,4272.34351899556,10.8204764689679,-79.0421087466613,93.6676187405446,3.23578193636371E-06,4.60626173019409,181.454899203777,216175.60817594,-4962130.70857761
151.76,49.8047352433205,49.8047352433205,117985.308132029,4408.24305355061,4272.45486489915,10.8161713582987,-79.0176256779934,93.6579869183254,3.19023310364944E-06,4.60465478897095,181.180910373906,215986.153306128,-4961978.39346166
151.86,49.7551110386848,49.7551110386848,118093.775226105,4407.94006533987,4272.56618646491,10.80916323744,-78.9757171913203,93.6305611574917,3.14563621209559E-06,4.60304927825928,180.907042459199,215797.114922953,-4961826.18792268
151.96,49.7016958594322,49.7016958594322,118202.075596761,4407.63821070255,4272.67778482857,10.8013218825088,-78.918800221053,93.5862669492222,3.10197084675074E-06,4.60144567489624,180.633348287504,215608.541803395,-4961673.87454812
152.06,49.6556531190872,49.6556531190872,118310.20932798,4407.33776887369,4272.78995043427,10.7950744622105,-78.8488561285942,93.5257529159769,3.05921729868709E-06,4.59984350204468,180.359839180087,215420.438821128,-4961521.24202324
152.16,49.6342498064041,49.6342498064041,118418.176489528,4407.03898170616,4272.90302530958,10.7941788955611,-78.7672721168532,93.4494433344802,3.01735437249865E-06,4.59824228286743,180.08646721721,215232.747112173,-4961368.03844155
152.26,49.6428833007813,49.6428833007813,118525.977110576,4406.74206043419,4273.01737967166,10.7998172171677,-78.6743892995248,93.3572947557279,2.97635896326409E-06,4.59664106369019,179.813144448287,215045.365304739,-4961213.98938962
152.36,49.6761562228203,49.6761562228203,118633.61117227,4406.44722715931,4273.13338725426,10.8108227695004,-78.5694356085121,93.2488501786467,2.93621709991399E-06,4.59503936767578,179.539787540956,214858.19739599,-4961058.81801632
152.46,49.7217139601707,49.7217139601707,118741.078622949,4406.15475020089,4273.25140838363,10.8245137953028,-78.4506696331005,93.1232874401934,2.89690405980406E-06,4.5934362411499,179.266353558216,214671.190725273,-4960902.25895263
152.56,49.7641520500183,49.7641520500183,118848.379403432,4405.86496333943,4273.37178419788,10.8375383667043,-78.3160803408627,92.9797243949422,2.85840437768628E-06,4.59183168411255,178.992857549826,214484.354278974,-4960744.06323391
