MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
271.84,49.6696491241455,49.6696491241455,126316.135686508,5789.27496066154,5785.6575036877,18.5389097591308,9.0462744919799,11.6211970689409,1.99548006915536E-06,2.67921090126038,3183.82103039393,132260.094807277,-3405540.49420442
271.94,49.620021045208,49.620021045208,126295.665816869,5791.12346337727,5787.50503529683,18.5314599655765,9.0754402429282,11.6495336992211,2.00263886566199E-06,2.67760992050171,3185.04911849076,132249.002340821,-3402993.14153926
272.04,49.582813501358,49.582813501358,126275.189952097,5792.97129890293,5789.35194174663,18.5286344440485,9.10363659974716,11.6769365466143,2.00981544273796E-06,2.67601013183594,3186.27818665082,132237.85335039,-3400444.54672642
272.14,49.5662488937378,49.5662488937378,126254.708214168,5794.81910979588,5791.19886787682,18.5335176202032,9.13086467899591,11.7034083853861,2.01701075725989E-06,2.67441129684448,3187.50869274932,132226.646730997,-3397893.80885107
272.24,49.5739161968231,49.5739161968231,126234.220741117,5796.66776174459,5793.04668330569,18.5474727106196,9.15724316833064,11.7290589865686,2.02422208298061E-06,2.67281246185303,3188.74126202069,132215.379633316,-3395339.70953928
272.34,49.6026182174683,49.6026182174683,126213.727686798,5798.51810593045,5794.89624318532,18.569324070708,9.18302178802578,11.7541303969853,2.03145311397105E-06,2.67121291160584,3189.97651238792,132204.049089341,-3392781.04655116
272.44,49.6428095698357,49.6428095698357,126193.229219035,5800.37071842259,5796.74812654662,18.5955136635032,9.20857193877177,11.7789771857289,2.03870392825678E-06,2.66961216926575,3191.21486762957,132192.652621157,-3390217.00021323
272.54,49.6811772584915,49.6811772584915,126172.725510435,5802.2257410165,5798.60247614601,18.6210594734115,9.23424694677912,11.8039283826292,2.04597608147377E-06,2.66801023483276,3192.45643944937,132181.189188045,-3387647.35960448
272.64,49.7056032419205,49.7056032419205,126152.216729973,5804.08282392853,5800.45894073262,18.6414139996135,9.26036148422602,11.8292820465289,2.05326565674119E-06,2.66640734672546,3193.70098332472,132169.65963877,-3385072.60611713
272.74,49.7123238444328,49.7123238444328,126131.703034024,5805.94132633821,5802.31687675236,18.6551521929234,9.28709594457509,11.8552184694323,2.06057618665974E-06,2.66480398178101,3194.9480438855,132158.065651508,-3382493.63312749
272.84,49.7123626470566,49.7123626470566,126111.184565452,5807.80080589523,5804.17584051925,18.6663979922424,9.31444434100537,11.8817244764627,2.06790374014845E-06,2.66320061683655,3196.19731176327,132146.40743565,-3379911.05599567
272.94,49.7123626470566,49.7123626470566,126090.661460171,5809.66120028687,5806.03577050836,18.6776444350528,9.34230272017079,11.908712199225,2.07525245498305E-06,2.66159701347351,3197.44875494576,132134.683318287,-3377324.95460905
273.04,49.7123626470566,49.7123626470566,126070.133855896,5811.52250482964,5807.89666250381,18.6889027628118,9.37050712102,11.9360156652961,2.08261995576604E-06,2.65999364852905,3198.70237837147,132122.892402948,-3374735.3286289
273.14,49.7123626470566,49.7123626470566,126049.601890724,5813.38471867314,5809.7585160998,18.7001746711262,9.39892323205541,11.9635125354344,2.09000521596357E-06,2.65839028358459,3199.95818942727,132111.033844218,-3372142.1724295
