TIME,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,APOAPSIS,PERIAPSIS
24.9,449.175506591797,449.175506591797,2484.14077626076,214.442488430833,45.4575312527287,20.9009844786019,0.733106035672152,0.202363810618444,4719.96050115209,-6360504.33985972
25.1,449.388214111328,449.388214111328,2526.28706966899,216.720198713577,46.274762410058,20.9508564363576,0.705989605393892,0.205776290164173,4808.5785961654,-6360466.1489739
25.3,449.602142333984,449.602142333984,2568.8647608785,219.005197130628,47.1003498260714,21.0009259362375,0.681790492285285,0.209209018783823,4898.21711043734,-6360427.49608868
25.5,449.817321777344,449.817321777344,2611.87388678174,221.29097383841,47.9348959942298,21.0511613566822,0.660485352180888,0.212650240940669,4988.72910080105,-6360388.35130483
25.7,450.033630371094,450.033630371094,2655.31407619175,223.57629979048,48.7774781789115,21.101534675071,0.641960530409365,0.216092692128805,5080.0889102323,-6360348.75516797
25.9,450.251068115234,450.251068115234,2699.18493935373,225.864140604788,49.6284188526985,21.1520743413667,0.626447219826412,0.219534700362324,5172.36075634044,-6360308.69042563
26.1,450.469604492188,450.469604492188,2743.48766204622,228.165745828178,50.489761351218,21.2028916093575,0.613862641242825,0.222989557120476,5265.79771571513,-6360268.05899578
26.3,450.689300537109,450.689300537109,2788.22549169231,230.489190576069,51.3629535556889,21.2540619248063,0.603735543200651,0.226478182334409,5360.59310215153,-6360226.79000371
26.5,450.910095214844,450.910095214844,2833.40222399496,232.833413838105,52.2475860188134,21.3055794330246,0.595485790533181,0.23000758357174,5456.74019460008,-6360184.89944174
26.7,451.131958007813,451.131958007813,2879.02091057692,235.192491327997,53.1422678729065,21.3573875627431,0.588326995848864,0.233570861561032,5554.11897783913,-6360142.44971281
26.9,451.354919433594,451.354919433594,2925.08298392687,237.557316608753,54.0449722821773,21.4094045237144,0.581470480151172,0.237151701048946,5652.52874996979,-6360099.53377437
27.1,451.578918457031,451.578918457031,2971.58864105493,239.925037238959,54.9550731338616,21.4616069078196,0.574174750624735,0.240735580205025,5751.90524792578,-6360056.1790019
27.3,451.803985595703,451.803985595703,3018.53852146026,242.301809345829,55.8739821635191,21.5140612483266,0.565635453679454,0.244324448233371,5852.39398295619,-6360012.31629125
27.5,452.029998779297,452.029998779297,3065.93481175695,244.695403949327,56.8035860288018,21.566841684117,0.555149168499823,0.247933448263262,5954.18521533627,-6359967.85338347
27.7,452.257049560547,452.257049560547,3113.78069939557,247.109027108821,57.7448822460785,21.6199885806008,0.542122016042842,0.251573555179211,6057.366911822,-6359922.73961062
